,,¿Cómo sobrevivir a los finales?,Sí se puede emprender y trabajar al mismo tiempo,¿Currículum con foto?,"Ander Plascencia, el nextliner que le gusta aprender"
,,¿Cómo elegir una carrera universitaria?,Herramientas y aplicaciones para emprendedores,"Natalie y Jonathan, los ganadores del Speed con HP","Alejandra Enriquez, la nextliner multitasking"
,,La importancia del portafolio profesional y cómo crear uno,Retos para el reclutamiento de jóvenes en las empresas,¡Aprende a trabajar en equipo!,"Carolina Domínguez, la nextliner multifacética"
,,¿Para qué y cómo tomar apuntes en clase?,"Home office, pros y contras",¿Para qué sirven las referencias laborales?,"Alberto Gómez, el nextliner autodidacta"
,,¿Qué hacer en Semana Santa si no saliste de viaje?,Test ¿Estás listo para emprender?,La empatía en el trabajo,"Felipe Barraza, el nextliner de actitud positiva"
,,"Llegaron las vacaciones, pero no te olvides de…",¿Por qué incubar tu empresa?,"Inglés, ¿para qué?","Martha Herrera, la nextliner artística"
,,¿Cómo elegir el trabajo ideal mientras estudias?,Test: ¿Qué tipo de líder eres?,Aprende a evitar el estrés laboral,"Luis Fernando, el Nextliner versátil"
,,Test ¿Qué tipo de estudiante eres?,Nuevas formas de trabajo que los millennials quieren (Parte 2),¿Cómo ser freelance y no morir en el intento?,"Ana Paula Pertierra, la nextliner del sí puedo"
,,Estudia y trabaja al mismo tiempo sin morir en el intento,¿Cómo cubren las vacantes las empresas?,Test ¿Qué personalidad eres de tu equipo de trabajo?,"David Basilio, la mente emprendedora detrás de Nextline"
,,Conoce el panorama laboral de tu carrera,"Nuevo año, nuevas metas",La importancia del portafolio profesional y cómo crear uno,Equipo Nextline
,,¿Qué poner en tu CV cuando no tienes experiencia?,Estrategias para motivar a los millennials en el trabajo,¿Cuáles son las cualidades y habilidades que las empresas buscan en los jóvenes?,
,,"Adiós pereza, hola método pomodoro",Navidad en las empresas,Errores comunes en las entrevistas de trabajo,
,,Test: ¿Qué tipo de líder eres?,Semillero de ideas para emprender,Speed Interviewing Nextline – HP,
,,Lo que no te enseñan en el aula,¿Cómo redactar vacantes efectivas en Nextline?,¿Cómo elegir el trabajo ideal mientras estudias?,
,,"Nuevo año, nuevas metas",Hábitos de un líder feliz,Lo que buscan los reclutadores en un CV millennial,
,,¿Cómo evitar perder el ritmo en vacaciones?,Nuevas formas de trabajo que los Millennials quieren (parte 1),Errores comunes en los CV,
,,Herramientas para regalar felicitaciones navideñas,"“Startupismo, metodología de cómo hacer tu ‘changarro’ en 20 pasos”: Fric Martínez","Home office, pros y contras",
,,La generación de nuestros padres vs la nuestra,"Bienvenido, Nextliner",Las redes sociales también son tu perfil profesional,
,,¿Cómo disminuir el estrés?,Cartelera Nextline,Speed Interviewing Nextline – IBM,
,,¿Vas a egresar? Estos son algunos consejos,¿Cómo se perciben los millennials en el trabajo?,"Adiós pereza, hola método pomodoro",
,,¿Cómo tener una entrevista de trabajo exitosa?,"Fracasos, el condimento del éxito",Test: ¿Qué tipo de líder eres?,
,,Aplicaciones imperdibles para universitarios,,Nuevas formas de trabajo que los millennials quieren (Parte 2),
,,"Bienvenido, Nextliner",,Guía de inserción profesional,
,,¿Mi promedio importa en el ámbito profesional?,,Estrategia de búsqueda de empleo,
,,Cómo salir victorioso de los exámenes finales,,¿Cómo cubren las vacantes las empresas?,
,,,,Herramientas para regalar felicitaciones navideñas,
,,,,Lo que no puede faltar en tu currículum,
,,,,¿Vas a egresar? Estos son algunos consejos,
,,,,¿Cómo saber cuál es tu empresa ideal?,
,,,,¿Cómo tener una entrevista de trabajo exitosa?,
,,,,Construye tu Branding personal,
,,,,"Bienvenido, Nextliner",
,,,,El valor que buscan las empresas para contratar Millennials,
,,,,"Luis Mayorquin, el Nextliner integrante de Balero",
,,,,¿Ya sabes cuánto vale tu trabajo?,
,,,,"Tu currículum, tu personalidad",
